Stkcd,Size,BM,OP,INV
2629,A,a,c,a
2630,A,c,b,c
2631,A,b,b,a
2632,A,b,b,a
2633,A,c,a,a
2634,A,b,b,a
2635,B,a,c,c
2636,A,c,b,b
2637,A,b,a,c
2638,B,b,b,c
2640,A,c,b,b
2641,A,c,c,b
2642,A,b,b,b
2643,B,a,b,a
2644,A,b,b,a
2645,A,b,b,a
2646,B,a,c,c
2647,A,c,b,c
2648,A,b,c,a
2649,A,b,b,c
2650,A,b,c,a
2651,A,c,c,b
2652,A,c,b,c
2653,B,b,c,c
2654,A,c,b,c
2655,A,b,b,c
600000,B,c,c,b
600004,B,b,c,a
600005,B,c,a,a
600006,B,c,a,a
600007,B,a,b,a
600008,B,c,b,b
600009,B,b,c,a
600010,B,b,a,c
600011,B,c,c,a
600012,B,c,c,b
600015,B,c,c,c
600016,B,c,c,c
600017,B,b,b,c
600018,B,b,c,b
600019,B,c,b,a
600020,B,c,b,a
600021,B,c,c,a
600022,B,c,a,c
600026,B,c,a,b
600027,B,c,b,b
600028,B,c,c,b
600029,B,c,b,b
600030,B,b,b,b
600031,B,a,c,c
600033,A,c,b,a
600035,B,c,b,c
600036,B,c,c,c
600037,B,b,a,a
600038,B,a,b,c
600039,B,c,c,c
600048,B,c,c,c
600050,B,c,b,b
600051,A,c,a,c
600052,A,c,b,b
600053,B,b,a,b
600054,A,c,c,b
600055,A,a,b,b
600056,B,b,c,c
600057,A,c,b,a
600058,B,c,a,a
600059,B,a,b,b
600060,B,b,c,b
600061,A,b,a,c
600062,B,a,c,b
600063,B,b,a,b
600064,B,c,b,b
600066,B,a,c,c
600067,B,c,c,c
600068,B,c,c,b
600069,B,b,a,b
600070,A,b,c,b
600071,A,a,a,a
600072,B,a,a,a
600073,B,b,b,c
600075,B,b,a,a
600076,A,a,a,b
600077,A,c,c,a
600078,B,b,a,a
600079,B,a,c,c
600080,B,a,b,b
600081,A,b,c,a
600082,A,b,b,a
600083,A,a,a,b
600084,B,a,a,a
