Stkcd,Size,BM,OP,INV
2233,B,b,b,c
2234,A,b,a,b
2235,A,a,a,a
2236,B,a,c,c
2237,B,b,b,a
2238,A,a,b,a
2240,B,a,a,b
2241,B,b,c,b
2242,B,a,c,a
2243,A,b,a,b
2244,B,c,c,c
2245,B,b,c,c
2246,A,b,a,b
2247,A,b,b,b
2248,A,a,a,a
2249,B,c,a,b
2250,B,b,a,c
2251,B,b,a,b
2253,A,a,a,a
2254,B,a,b,a
2255,A,c,a,c
2256,B,a,b,b
2258,B,a,c,c
2259,A,b,a,a
2261,A,a,a,a
2262,B,a,c,b
2264,B,b,a,a
2265,A,a,a,c
2266,B,b,a,b
2267,B,b,b,b
2268,B,a,a,c
2269,B,b,a,b
2270,A,b,c,c
2271,B,a,c,c
2272,A,b,a,a
2273,B,a,b,c
2274,A,c,a,a
2275,B,a,c,b
2276,B,b,a,c
2277,B,c,b,b
2278,A,a,a,a
2279,B,c,c,c
2280,B,b,a,c
2281,B,a,b,b
2282,A,b,a,c
2283,A,b,b,c
2284,A,b,a,c
2285,B,b,c,c
2286,A,a,a,b
2287,B,a,c,b
2288,A,b,a,c
2289,A,a,a,a
2290,A,c,a,c
2291,A,b,a,b
2292,B,b,a,a
2293,B,a,c,b
2294,B,a,c,b
2295,A,b,b,b
2296,A,b,a,a
2298,A,b,a,b
2299,B,b,b,a
2300,A,b,b,b
2301,B,b,b,c
2302,B,b,a,c
2303,B,a,b,c
2304,B,a,c,b
2305,B,c,a,b
2306,A,a,a,a
2307,B,c,a,c
2308,B,a,b,c
2309,B,c,a,c
2311,B,a,c,c
2313,B,a,a,c
2314,A,c,c,b
2315,A,b,a,a
2316,A,b,b,c
2317,B,a,c,b
2318,B,b,a,c
2319,A,a,a,a
2320,B,b,b,c
2321,A,c,a,c
2322,A,b,b,b
2323,A,b,c,c
2324,A,b,b,b
2325,A,c,a,c
2326,A,b,b,c
2327,B,b,c,b
2328,A,c,b,a
2329,A,b,a,b
2330,A,a,a,a
2331,A,a,b,b
2332,B,b,b,c
2333,B,a,a,a
2334,A,b,b,c
2335,A,b,c,c
2336,A,b,a,a
2337,A,a,a,a
2338,A,a,b,a
2339,A,b,b,c
2340,B,b,b,b
2341,B,b,a,a
2342,A,b,a,a
2343,B,b,c,c
2344,B,b,b,a
2346,B,a,c,c
2347,A,b,a,b
2348,A,a,b,c
2349,B,a,b,c
2350,A,b,b,c
2351,A,b,b,b
2352,B,c,c,c
2353,B,b,a,a
2354,B,c,c,c
2355,A,b,b,b
2356,B,b,c,c
2360,A,b,b,b
2361,A,b,b,c
2362,A,a,b,b
2363,A,b,a,c
2364,B,a,a,a
2365,A,a,b,c
2367,A,b,b,b
2368,B,b,b,b
2370,B,a,b,b
2371,B,b,b,c
2372,B,a,c,b
2373,B,a,c,b
2374,A,c,a,c
2375,B,c,b,b
2376,B,a,c,b
2377,A,c,a,c
2378,B,a,a,b
2379,A,a,a,a
2380,A,b,b,b
2381,A,b,b,a
2382,B,a,c,b
2383,B,b,b,c
2384,B,c,b,c
2385,B,b,c,c
2386,B,c,b,a
2387,A,c,b,c
2388,A,a,a,c
2389,B,b,a,c
2390,B,b,b,b
2391,A,b,b,a
2392,A,b,b,b
2393,A,a,a,b
2394,A,b,c,a
2395,A,a,a,b
2396,B,a,c,b
2397,A,b,a,c
2399,B,a,a,a
2400,B,b,a,a
2401,A,a,b,c
2402,B,a,c,c
2403,A,b,b,c
2404,A,b,c,b
2405,B,a,a,c
2406,A,b,b,b
2407,B,b,b,c
2409,A,a,a,a
2410,B,a,c,b
2412,A,a,b,a
2413,B,a,a,b
2414,B,a,a,a
2415,B,a,c,c
2416,B,b,b,c
2417,A,a,a,a
2418,A,c,b,c
2419,B,b,c,b
2420,A,c,a,a
2421,B,a,b,b
2422,B,b,b,c
2424,B,a,c,b
2425,A,b,b,b
2426,B,c,a,b
2427,A,b,c,c
2428,B,a,a,b
2429,B,b,b,c
2430,B,b,b,b
2432,A,a,a,a
2433,B,b,b,c
2434,B,b,c,a
2435,A,c,b,b
2438,A,b,a,c
2439,B,a,b,c
2440,B,b,c,b
2441,A,b,b,b
2442,B,a,b,b
2443,A,b,b,a
2444,B,a,b,b
2446,A,b,a,b
2447,B,a,c,a
2448,A,b,c,c
2449,B,b,c,b
2451,A,a,c,a
2452,A,b,b,a
2454,A,b,c,c
2455,A,b,b,c
2456,B,a,b,c
2457,A,b,a,a
2458,A,a,a,b
2459,B,a,a,b
2460,B,a,c,c
2461,B,c,a,c
2462,B,b,c,c
2463,B,b,b,b
2464,B,a,a,c
2465,B,a,a,b
2466,B,a,c,c
2467,A,a,a,a
2468,B,b,c,b
2469,A,a,b,b
2471,A,c,a,b
2472,A,b,b,c
2473,A,a,a,a
2474,A,a,a,c
2475,B,a,c,c
2476,A,a,a,a
2478,A,c,a,c
2479,A,a,c,a
2480,B,b,a,b
2481,A,b,a,a
2482,B,b,b,a
2483,A,b,a,a
2484,B,a,b,b
2486,A,a,a,a
2487,A,b,a,b
2488,B,b,a,c
2489,B,b,a,c
2490,A,c,a,b
2491,B,a,c,c
2492,A,a,b,a
2493,B,b,b,c
2494,A,b,a,b
2495,A,a,a,b
2496,A,b,c,b
2497,B,a,b,c
2498,B,a,b,a
2499,A,a,b,c
2500,B,c,a,b
2501,B,c,b,c
2503,B,b,c,c
2504,A,c,a,a
2505,B,b,a,a
2506,B,c,a,a
2508,B,a,c,c
