year,month,factor,pair,R
2012,20109,INV,AA,-0.007069494
2012,201010,INV,AA,0.056708959
2012,201011,INV,AA,0.026532588
2012,201012,INV,AA,-0.020677996
2012,20111,INV,AA,-0.052242858
2012,20112,INV,AA,0.09429655
2012,20113,INV,AA,0.01165675
2012,20114,INV,AA,-0.036646168
2012,20115,INV,AA,-0.085099416
2012,20116,INV,AA,0.048853535
2012,20117,INV,AA,0.004663806
2012,20118,INV,AA,-0.008418583
2012,20119,INV,AA,-0.103781799
2012,201110,INV,AA,0.00017106
2012,201111,INV,AA,-0.040793556
2012,201112,INV,AA,-0.227711674
2012,20121,INV,AA,0.022915296
2012,20122,INV,AA,0.156510783
2012,20123,INV,AA,-0.07183946
2012,20124,INV,AA,0.06108961
2012,20125,INV,AA,0.011286716
2012,20126,INV,AA,-0.047687199
2012,20127,INV,AA,-0.127173392
2012,20107,INV,AB,0.147165353
2012,20108,INV,AB,0.102486315
2012,20109,INV,AB,-0.001569285
2012,201010,INV,AB,0.061235325
2012,201011,INV,AB,0.035265835
2012,201012,INV,AB,-0.006822916
2012,20111,INV,AB,-0.071278048
2012,20112,INV,AB,0.088937339
2012,20113,INV,AB,-0.02543823
2012,20114,INV,AB,-0.03552778
2012,20115,INV,AB,-0.070566942
2012,20116,INV,AB,0.055754684
2012,20117,INV,AB,0.017370577
2012,20118,INV,AB,-0.023811642
2012,20119,INV,AB,-0.108827015
2012,201110,INV,AB,0.050688229
2012,201111,INV,AB,-0.029078113
2012,201112,INV,AB,-0.189640303
2012,20121,INV,AB,-0.006865534
2012,20122,INV,AB,0.128371005
2012,20123,INV,AB,-0.072476722
2012,20124,INV,AB,0.057160291
2012,20125,INV,AB,0.012839792
2012,20126,INV,AB,-0.041989243
2012,20127,INV,AB,-0.114232687
2012,20107,INV,AC,0.153947237
2012,20108,INV,AC,0.108578976
2012,20109,INV,AC,-0.018375336
2012,201010,INV,AC,0.075780927
2012,201011,INV,AC,0.05826814
2012,201012,INV,AC,-0.028144065
2012,20111,INV,AC,-0.067552357
2012,20112,INV,AC,0.095333052
2012,20113,INV,AC,-0.010163827
2012,20114,INV,AC,-0.053628227
2012,20115,INV,AC,-0.080201242
2012,20116,INV,AC,0.052688969
2012,20117,INV,AC,0.020371235
2012,20118,INV,AC,-0.036437057
2012,20119,INV,AC,-0.112169289
