,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
10,0.002746676,0.01456272,0.18762024,0.34064006,-0.100721716,0.694411478,0.065304903,0.044369397,0.352075051,0.562969609,-0.090115672,0.796658496,,0.052678836,0.106189545,0.080949679,0.040775635,0.108029798,,0.147080589,0.325537978,0.27599367,0.154907368,0.368479381
11,0.013283218,0.114059179,0.081385356,0.334907661,-0.245166336,0.824563461,0.301288762,0.331522185,0.145694507,0.528026426,-0.209256711,0.902444978,,,,beta_SMB,,,,,,t_beta_SMB,,
12,0.02167632,0.160161002,0.310841306,0.636975791,0.092304312,0.768030865,0.594082997,0.562498125,0.672384327,1.213487901,0.095196831,1.015680859,,0.611642639,0.293448461,0.18762024,-0.166570748,0.009612285,,0.902558952,0.532950995,0.352075051,-0.360344224,0.018161497
13,0.015370628,0.114281333,0.204650493,0.59077307,-0.08546259,0.833120832,0.404060591,0.38497533,0.424604851,1.079509614,-0.084541481,1.056768571,,0.54988666,0.312282937,0.081385356,0.073834728,0.448349448,,0.836638497,0.545500402,0.145694507,0.172663984,1.075525549
14,0.018474319,0.080949679,0.334993861,0.785218547,-0.101993347,0.592915801,0.491529626,0.27599367,0.703453503,1.452187734,-0.102115587,0.761186907,,0.616120632,0.222591713,0.310841306,0.015032941,-0.025030186,,0.954378604,0.431683989,0.672384327,0.034429988,-0.062417804
15,0.002881422,0.023442443,-0.166570748,0.54641073,-1.027342274,1.512023615,0.078978405,0.082339296,-0.360344224,1.041050301,-1.059633391,1.999756601,,0.399593933,0.275366585,0.204650493,0.000455812,0.04772338,,0.637264516,0.593668364,0.424604851,0.001000564,0.116137165
16,-0.004391395,-0.037804293,0.073834728,0.456692093,-0.125439512,0.627353502,-0.130114674,-0.143538249,0.172663984,0.940585406,-0.139861146,0.896918829,,0.781201163,0.23881731,0.334993861,0.117411968,0.199132667,,1.343373042,0.450920788,0.703453503,0.274725054,0.418337399
17,0.014827209,0.101000229,0.015032941,0.452571142,-0.608326016,0.996168781,0.430264035,0.375578489,0.034429988,0.912879451,-0.664279646,1.394843784,,,,beta_HML,,,,,,t_beta_HML,,
18,0.005521941,0.042402422,0.000455812,0.557384118,-0.351461777,0.856369361,0.153579754,0.151124751,0.001000564,1.077575589,-0.367840239,1.149265437,,0.55471068,0.464400632,0.34064006,0.54641073,-0.245394696,,0.720904969,0.742817131,0.562969609,1.041050301,-0.408341795
19,0.008473176,0.040775635,0.117411968,0.949736793,-0.337893331,1.054053231,0.251197231,0.154907368,0.274725054,1.957144217,-0.376952969,1.50781542,,0.772793625,0.546244935,0.334907661,0.456692093,0.287833295,,1.035528028,0.84036491,0.528026426,0.940585406,0.6081053
20,0.002883042,0.047078034,0.009612285,-0.245394696,0.478102761,-0.575946775,0.069017422,0.144420472,0.018161497,-0.408341795,0.430693082,-0.665284008,,0.24982888,0.563707166,0.636975791,0.452571142,0.370894215,,0.340824848,0.96281794,1.213487901,0.912879451,0.814569486
21,-0.002676178,-0.06473398,0.448349448,0.287833295,0.516872627,-0.08479843,-0.081339555,-0.252128445,1.075525549,0.6081053,0.591165763,-0.124363129,,0.2321192,0.508954248,0.59077307,0.557384118,0.460468827,,0.326021005,0.966373649,1.079509614,1.077575589,0.986901775
22,0.014219177,0.122006855,-0.025030186,0.370894215,-0.159339899,0.490994333,0.449263962,0.493985373,-0.062417804,0.814569486,-0.18944825,0.748549678,,0.76388114,0.681357615,0.785218547,0.949736793,1.170831631,,1.156893023,1.133034765,1.452187734,1.957144217,2.166268559
