date,factor,pair,ret
20174,INV,AD,-0.10829175
20175,INV,AD,-0.093088415
20176,INV,AD,0.043009547
20177,INV,AD,-0.029486075
20178,INV,AD,0.042759524
20179,INV,AD,0.01124723
201710,INV,AD,-0.025851766
201711,INV,AD,-0.099825371
201712,INV,AD,-0.032039488
20181,INV,AD,-0.05363986
20182,INV,AD,-0.068645032
20183,INV,AD,0.054973357
20184,INV,AD,-0.047796015
20185,INV,AD,0.025761053
20186,INV,AD,-0.119139298
20187,INV,AD,-0.005207252
20167,INV,AE,-0.029463732
20168,INV,AE,0.163208587
20169,INV,AE,0.000929976
201610,INV,AE,0.095663578
201611,INV,AE,0.071067694
201612,INV,AE,-0.046186833
20171,INV,AE,-0.056071731
20172,INV,AE,0.164586963
20173,INV,AE,-0.009431142
20174,INV,AE,-0.066897612
20175,INV,AE,-0.093121181
20176,INV,AE,0.031168294
20177,INV,AE,-0.044100382
20178,INV,AE,0.038060696
20179,INV,AE,0.005455716
201710,INV,AE,-0.019680143
201711,INV,AE,-0.094198112
201712,INV,AE,-0.035096317
20181,INV,AE,-0.047851495
20182,INV,AE,-0.044080897
20183,INV,AE,0.061083721
20184,INV,AE,-0.04754362
20185,INV,AE,0.021388938
20186,INV,AE,-0.130423021
20187,INV,AE,-0.022040874
20167,BM,BA,-0.005145723
20168,BM,BA,0.076855337
20169,BM,BA,-0.000635964
201610,BM,BA,0.052055527
201611,BM,BA,0.046586894
201612,BM,BA,-0.003664336
20171,BM,BA,-0.020567171
20172,BM,BA,0.02765579
20173,BM,BA,-0.035414688
20174,BM,BA,-0.062966725
20175,BM,BA,-0.073770947
20176,BM,BA,0.03258261
20177,BM,BA,-0.021117027
20178,BM,BA,0.041616825
20179,BM,BA,0.024141896
201710,BM,BA,-0.026187208
201711,BM,BA,-0.054087125
201712,BM,BA,-0.008179273
20181,BM,BA,-0.038848504
20182,BM,BA,-0.075908036
20183,BM,BA,0.056865697
20184,BM,BA,-0.030228598
20185,BM,BA,-0.0330612
20186,BM,BA,-0.139567124
20187,BM,BA,-0.007995537
20167,BM,BB,-0.015791842
20168,BM,BB,0.057158081
20169,BM,BB,-0.002420692
201610,BM,BB,0.069570106
201611,BM,BB,0.030530897
201612,BM,BB,-0.012923744
20171,BM,BB,-0.008117646
20172,BM,BB,0.034837285
20173,BM,BB,-0.01917489
20174,BM,BB,-0.067225745
20175,BM,BB,-0.090974305
20176,BM,BB,0.042473996
20177,BM,BB,-0.002150168
20178,BM,BB,0.027775427
20179,BM,BB,0.005822794
201710,BM,BB,-0.008866267
201711,BM,BB,-0.086016601
201712,BM,BB,-0.019574988
20181,BM,BB,-0.04942103
20182,BM,BB,-0.060463401
20183,BM,BB,0.061997925
20184,BM,BB,-0.053922838
20185,BM,BB,-0.032815487
20186,BM,BB,-0.13359323
20187,BM,BB,0.032103362
20167,BM,BC,-0.006943936
20168,BM,BC,0.040646219
20169,BM,BC,-0.00306205
201610,BM,BC,0.035414136
201611,BM,BC,0.041168708
201612,BM,BC,-0.017387093
20171,BM,BC,-0.033337438
20172,BM,BC,0.04424142
20173,BM,BC,-0.019052333
20174,BM,BC,-0.06584514
20175,BM,BC,-0.089753305
20176,BM,BC,0.037074058
20177,BM,BC,0.008250985
20178,BM,BC,0.030134151
20179,BM,BC,0.006613514
201710,BM,BC,-0.040054947
201711,BM,BC,-0.088419737
201712,BM,BC,-0.007598577
20181,BM,BC,-0.04254247
20182,BM,BC,-0.053109393
20183,BM,BC,0.048943587
20184,BM,BC,-0.050891111
20185,BM,BC,-0.014926143
20186,BM,BC,-0.117078402
20187,BM,BC,0.012863509
20167,BM,BD,-0.009666935
20168,BM,BD,0.056106417
20169,BM,BD,-0.007767172
201610,BM,BD,0.028660145
201611,BM,BD,0.018468447
201612,BM,BD,-0.053745687
20171,BM,BD,-0.016603009
20172,BM,BD,0.037289943
20173,BM,BD,-0.03038035
20174,BM,BD,-0.07162559
20175,BM,BD,-0.081672692
20176,BM,BD,0.014728365
20177,BM,BD,6.15E-05
20178,BM,BD,0.016863861
20179,BM,BD,0.008245592
201710,BM,BD,-0.02881317
201711,BM,BD,-0.084108758
201712,BM,BD,-0.026090609
20181,BM,BD,-0.036366304
20182,BM,BD,-0.061463436
20183,BM,BD,0.02783501
20184,BM,BD,-0.054405483
20185,BM,BD,-0.015971341
20186,BM,BD,-0.108598947
20187,BM,BD,0.009452589
20167,BM,BE,0.008381083
20168,BM,BE,0.046342985
20169,BM,BE,0.006150958
201610,BM,BE,0.032311678
201611,BM,BE,0.026185013
201612,BM,BE,-0.045640708
20171,BM,BE,-0.022277538
20172,BM,BE,0.055640539
20173,BM,BE,-0.019431601
20174,BM,BE,-0.040132051
20175,BM,BE,-0.094718513
20176,BM,BE,0.028908396
20177,BM,BE,0.010183418
20178,BM,BE,0.022439868
20179,BM,BE,-0.013305797
201710,BM,BE,-0.044223674
201711,BM,BE,-0.081930655
201712,BM,BE,-0.030186975
20181,BM,BE,-0.02397503
20182,BM,BE,-0.063059301
20183,BM,BE,0.058642124
20184,BM,BE,-0.048022772
20185,BM,BE,-0.019872831
20186,BM,BE,-0.128685476
20187,BM,BE,0.02084931
20167,OP,BA,0.005431811
20168,OP,BA,0.060747017
20169,OP,BA,-0.005856695
201610,OP,BA,0.052590081
201611,OP,BA,0.040693382
201612,OP,BA,-0.028175128
20171,OP,BA,-0.024459592
20172,OP,BA,0.03002912
20173,OP,BA,-0.043286075
20174,OP,BA,-0.060173358
20175,OP,BA,-0.09242834
20176,OP,BA,0.028448587
20177,OP,BA,0.005102411
20178,OP,BA,0.0276346
20179,OP,BA,0.008626587
201710,OP,BA,-0.031370321
201711,OP,BA,-0.082150001
201712,OP,BA,-0.009194115
20181,OP,BA,-0.057894655
20182,OP,BA,-0.074449068
20183,OP,BA,0.051518967
20184,OP,BA,-0.047688914
20185,OP,BA,-0.039667414
20186,OP,BA,-0.106886987
20187,OP,BA,0.009993568
20167,OP,BB,-0.013788951
20168,OP,BB,0.055424896
20169,OP,BB,-0.007322668
201610,OP,BB,0.042790248
201611,OP,BB,0.022432145
201612,OP,BB,-0.028440347
20171,OP,BB,-0.018165974
20172,OP,BB,0.032152631
20173,OP,BB,-0.021980597
20174,OP,BB,-0.09071058
20175,OP,BB,-0.077896376
20176,OP,BB,0.027134258
20177,OP,BB,-0.00271609
20178,OP,BB,0.027462908
20179,OP,BB,0.007405519
