,label,R
71,2012_20124_BM_AC,0.06440430494596244
72,2012_20125_BM_AC,0.00433046632287712
73,2012_20126_BM_AC,-0.06384491200537208
74,2012_20127_BM_AC,-0.1112336738298411
75,2012_20107_BM_AD,0.13585015737477038
76,2012_20108_BM_AD,0.08384344108570566
77,2012_20109_BM_AD,-0.009422335082493799
78,2012_201010_BM_AD,0.0648853609488017
79,2012_201011_BM_AD,0.05411157175412942
80,2012_201012_BM_AD,-0.007492890637329422
81,2012_20111_BM_AD,-0.07404730246438947
82,2012_20112_BM_AD,0.08876775257777586
83,2012_20113_BM_AD,-0.027267379763690043
84,2012_20114_BM_AD,-0.05407775082350335
85,2012_20115_BM_AD,-0.08534920102865012
86,2012_20116_BM_AD,0.04916216951103839
87,2012_20117_BM_AD,0.011197735663003637
88,2012_20118_BM_AD,-0.004404385657481034
89,2012_20119_BM_AD,-0.11397856780739307
90,2012_201110_BM_AD,0.0384518434751776
91,2012_201111_BM_AD,-0.028553619533152094
92,2012_201112_BM_AD,-0.1728888168608466
93,2012_20121_BM_AD,-0.024158575565896036
94,2012_20122_BM_AD,0.1375353425546773
95,2012_20123_BM_AD,-0.07862115932078441
96,2012_20124_BM_AD,0.05356264176899568
97,2012_20125_BM_AD,0.044155365250195595
98,2012_20126_BM_AD,-0.060117474894941944
99,2012_20127_BM_AD,-0.11843063957810161
100,2012_20107_BM_AE,0.14562090078610523
101,2012_20108_BM_AE,0.11093370837257208
102,2012_20109_BM_AE,-0.03034826303394174
103,2012_201010_BM_AE,0.06544389475735467
104,2012_201011_BM_AE,0.010466582859871407
105,2012_201012_BM_AE,-0.013049809219899204
106,2012_20111_BM_AE,-0.07643277178607569
107,2012_20112_BM_AE,0.09122216292349652
108,2012_20113_BM_AE,-0.004462806626581517
109,2012_20114_BM_AE,-0.0613296205930416
110,2012_20115_BM_AE,-0.06997532932491489
111,2012_20116_BM_AE,0.050542760756410454
112,2012_20117_BM_AE,0.013965008081064068
113,2012_20118_BM_AE,-0.019149089944834864
114,2012_20119_BM_AE,-0.12470709155211271
115,2012_201110_BM_AE,0.04621405876448173
116,2012_201111_BM_AE,-0.047684848634174236
117,2012_201112_BM_AE,-0.1534755323724923
118,2012_20121_BM_AE,-0.011750741803066265
119,2012_20122_BM_AE,0.1514940155125038
120,2012_20123_BM_AE,-0.08770578538785555
121,2012_20124_BM_AE,0.07369574925279924
122,2012_20125_BM_AE,0.015850138783190495
123,2012_20126_BM_AE,-0.07028458107178079
124,2012_20127_BM_AE,-0.09306212577671233
125,2012_20107_OP_AA,0.1418909907812202
126,2012_20108_OP_AA,0.10035658072357381
127,2012_20109_OP_AA,0.003278839480460667
128,2012_201010_OP_AA,0.04313971850032648
129,2012_201011_OP_AA,0.020249056043803428
130,2012_201012_OP_AA,-0.04157891728085211
131,2012_20111_OP_AA,-0.034574541500216424
132,2012_20112_OP_AA,0.10363237792558316
133,2012_20113_OP_AA,0.026352762143961865
134,2012_20114_OP_AA,-0.04348033441057962
135,2012_20115_OP_AA,-0.08907441775976144
136,2012_20116_OP_AA,0.04949333580166714
137,2012_20117_OP_AA,-0.0034690648541375923
138,2012_20118_OP_AA,-0.018171722543797387
139,2012_20119_OP_AA,-0.08357303200408837
140,2012_201110_OP_AA,0.006164804866177263
141,2012_201111_OP_AA,-0.040676177381588616
142,2012_201112_OP_AA,-0.23659949232066466
143,2012_20121_OP_AA,0.02650393509413483
144,2012_20122_OP_AA,0.16006599200317317
145,2012_20123_OP_AA,-0.08840794448941972
146,2012_20124_OP_AA,0.06595414504235204
147,2012_20125_OP_AA,0.016429309056162203
148,2012_20126_OP_AA,-0.059068384172365526
149,2012_20127_OP_AA,-0.12359072898745439
150,2012_20107_OP_AB,0.15965626710342443
151,2012_20108_OP_AB,0.08765148792875042
152,2012_20109_OP_AB,-0.02406775148089091
153,2012_201010_OP_AB,0.08935266305573464
154,2012_201011_OP_AB,0.012840193298147775
155,2012_201012_OP_AB,0.008746375855687799
156,2012_20111_OP_AB,-0.09588470448548297
157,2012_20112_OP_AB,0.10695333636275564
158,2012_20113_OP_AB,-0.025504262235965344
159,2012_20114_OP_AB,-0.048456766521174074
160,2012_20115_OP_AB,-0.06606460419855997
161,2012_20116_OP_AB,0.04732286332161105
162,2012_20117_OP_AB,0.006307404922286831
163,2012_20118_OP_AB,-0.009523312912136496
164,2012_20119_OP_AB,-0.12324781359001023
165,2012_201110_OP_AB,0.034323548268417346
166,2012_201111_OP_AB,-0.03802265669056205
167,2012_201112_OP_AB,-0.19312337276475455
168,2012_20121_OP_AB,-0.011351493129073756
169,2012_20122_OP_AB,0.14776276451417616
170,2012_20123_OP_AB,-0.07649617267453747
171,2012_20124_OP_AB,0.05703868985707035
172,2012_20125_OP_AB,0.03815781801591748
173,2012_20126_OP_AB,-0.06026863038958155
174,2012_20127_OP_AB,-0.11947005222685261
175,2012_20107_OP_AC,0.13851325516441695
176,2012_20108_OP_AC,0.10729458900573091
177,2012_20109_OP_AC,-0.02094537414932738
178,2012_201010_OP_AC,0.05754019638836471
179,2012_201011_OP_AC,0.07604384374731024
180,2012_201012_OP_AC,-0.029471641146811837
181,2012_20111_OP_AC,-0.08568912113554829
182,2012_20112_OP_AC,0.08268758834085234
183,2012_20113_OP_AC,-0.023242767918930676
