,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
14,0.020330042,0.108224672,0.293958113,0.502545746,-0.150173525,0.527332221,0.51260591,0.349682857,0.584989497,0.880789008,-0.142487787,0.641573864,,0.313635217,0.166432715,0.243741101,0.115224199,0.138136406,,0.524997031,0.317044272,0.539910493,0.280643307,0.304207323
15,0.015358419,0.115519113,-0.123599426,0.683009732,-0.723323858,1.13138385,0.40907478,0.394287284,-0.259830382,1.26454427,-0.724983159,1.454062894,,0.756468303,0.278406178,0.391410452,-0.093619601,0.219260667,,1.063099214,0.493804933,0.821257984,-0.228174669,0.453770582
16,-0.004255272,-0.062231137,-0.085677313,0.866392638,-0.790343028,1.234882811,-0.121517728,-0.227731305,-0.193105832,1.719800118,-0.849311157,1.701590441,,0.414937208,0.273950642,0.293958113,0.194380419,0.04663277,,0.51310735,0.523018985,0.584989497,0.431028108,0.094979521
17,0.00186084,0.014524102,0.115224199,0.459408889,-0.094962421,0.688622353,0.057425228,0.057436203,0.280643307,0.985471464,-0.110276866,1.025396534,,,,beta_HML,,,,,,t_beta_HML,,
18,0.018837548,0.148079121,-0.093619601,0.600641957,-0.705492006,1.163904046,0.581711611,0.585976116,-0.228174669,1.289288104,-0.819812222,1.73427338,,0.69923834,0.630305156,0.663827009,0.683009732,0.74420349,,1.055479795,1.013194376,1.032608879,1.26454427,1.476385854
19,-0.00324488,-0.038401775,0.194380419,0.445582682,-0.175882179,0.844005743,-0.091166335,-0.138257857,0.431028108,0.870191923,-0.185950163,1.144190182,,0.633108673,0.546254225,0.579853346,0.866392638,0.891878817,,0.825803888,0.936376088,1.018965777,1.719800118,2.058554746
20,-0.008846182,-0.097152053,0.253148915,0.74420349,0.047123168,0.690985468,-0.252471913,-0.355313682,0.570230674,1.476385854,0.050609336,0.951575294,,0.045325325,0.79515755,0.534648766,0.459408889,0.979254832,,0.066820023,1.334037595,1.043026242,0.985471464,1.899288345
21,0.011668152,0.072071765,0.094583604,0.891878817,-0.17902953,0.790496926,0.387442883,0.306671565,0.247878445,2.058554746,-0.22370167,1.266551426,,0.493080332,0.485058197,0.406591075,0.600641957,0.021979303,,0.610287407,0.757711835,0.751343779,1.289288104,0.040061129
22,0.015427921,0.072867547,0.138136406,0.979254832,-0.240868692,0.68863993,0.430478663,0.260544019,0.304207323,1.899288345,-0.252908553,0.927157363,,0.586518114,0.193480802,0.502545746,0.445582682,0.721464617,,0.638764764,0.32532443,0.880789008,0.870191923,1.294158509
23,0.009623542,0.071734549,0.219260667,0.021979303,0.557495732,-0.409006774,0.252344173,0.24104017,0.453770582,0.040061129,0.5500964,-0.517494627,,,,beta_RMW,,,,,,t_beta_RMW,,
