,Stkcd,Size,BM,OP,INV
1183,600145,B,A,A,A
1184,600146,B,A,A,B
1185,600148,A,B,B,A
1186,600149,B,A,B,A
1187,600150,E,C,A,A
1188,600151,E,D,A,C
1189,600152,A,D,A,A
1190,600153,E,E,E,D
1191,600155,A,A,E,A
1192,600156,B,B,A,B
1193,600157,E,E,D,E
1194,600158,D,B,C,A
1195,600159,B,C,A,C
1196,600160,E,A,D,A
1197,600161,E,B,E,E
1198,600162,C,E,C,E
1199,600163,C,C,A,A
1200,600165,A,D,B,E
1201,600166,E,E,A,D
1202,600167,C,C,E,D
1203,600168,C,C,A,A
1204,600169,D,D,A,C
1205,600170,D,E,D,D
1206,600171,C,A,A,B
1207,600172,C,C,D,D
1208,600173,C,C,C,B
1209,600175,D,C,B,D
1210,600176,D,E,C,D
1211,600177,E,E,D,B
1212,600178,C,C,A,B
1213,600179,B,A,A,E
1214,600180,C,B,E,E
1215,600182,C,D,E,C
1216,600183,E,C,C,A
1217,600184,B,C,A,B
1218,600185,C,E,E,C
1219,600186,C,B,A,A
1220,600187,D,A,C,C
1221,600188,D,E,C,D
1222,600189,C,D,A,C
1223,600190,D,D,B,E
1224,600191,C,B,A,A
1225,600192,C,D,B,C
1226,600193,C,A,E,E
1227,600195,D,A,D,C
1228,600196,E,C,D,D
1229,600197,D,A,E,D
1230,600198,D,D,A,E
1231,600199,E,A,E,E
1232,600200,E,C,C,D
1233,600201,D,A,D,C
1234,600202,B,C,A,B
1235,600203,B,B,C,C
1236,600206,D,A,A,A
1237,600207,C,C,A,A
1238,600208,E,D,E,E
1239,600209,D,A,A,B
1240,600210,D,D,C,B
1241,600211,B,A,B,C
1242,600212,B,B,A,A
1243,600213,A,B,A,E
1244,600215,B,D,B,D
1245,600216,E,B,E,E
1246,600217,C,A,A,D
1247,600218,C,B,A,C
1248,600219,E,D,C,E
1249,600220,D,B,A,A
1250,600221,E,E,C,D
1251,600222,C,B,C,C
1252,600223,D,E,E,D
1253,600225,C,E,C,B
1254,600226,B,B,B,A
1255,600227,C,D,A,A
1256,600228,E,A,A,A
1257,600230,C,C,E,C
1258,600231,C,E,A,D
1259,600232,B,C,A,A
1260,600233,B,B,D,B
1261,600235,B,B,B,A
1262,600237,B,A,B,B
1263,600238,C,A,D,D
1264,600239,D,E,A,E
1265,600240,D,C,D,D
1266,600241,A,C,E,A
1267,600242,A,E,A,D
1268,600243,A,D,A,B
1269,600246,D,D,E,A
1270,600248,C,D,E,D
1271,600249,C,C,B,B
1272,600250,A,D,A,A
1273,600251,E,A,E,B
1274,600252,E,A,E,D
1275,600255,C,B,A,A
1276,600256,E,B,D,D
1277,600257,C,A,B,C
1278,600258,C,B,E,B
1279,600259,E,A,D,C
1280,600260,D,C,E,E
1281,600261,D,C,B,E
1282,600262,A,E,D,C
1283,600265,A,A,A,A
1284,600266,E,D,E,E
1285,600267,E,B,C,E
1286,600268,D,D,B,D
1287,600269,D,E,D,C
1288,600270,C,D,D,C
1289,600271,E,A,E,D
1290,600272,B,A,E,A
1291,600273,B,B,A,A
1292,600275,C,A,B,A
1293,600276,E,A,E,D
1294,600277,E,D,B,D
1295,600278,C,D,C,A
1296,600279,A,E,B,B
1297,600280,E,D,D,E
1298,600281,C,C,A,A
1299,600282,C,E,A,A
1300,600283,B,C,B,D
1301,600285,C,A,C,C
1302,600287,C,C,C,A
1303,600288,D,C,B,A
1304,600289,D,B,B,B
1305,600290,B,C,B,A
1306,600291,C,E,C,E
1307,600292,D,D,D,A
1308,600293,B,C,A,D
1309,600295,D,E,C,C
1310,600298,D,C,D,E
1311,600299,C,E,A,B
1312,600300,E,B,B,D
1313,600301,B,D,A,A
1314,600302,A,C,A,A
1315,600303,C,E,A,B
1316,600305,D,C,A,A
1317,600306,A,D,A,E
1318,600307,E,E,B,B
1319,600308,C,E,A,A
1320,600309,E,B,E,E
1321,600310,C,D,B,E
1322,600311,D,A,B,A
1323,600312,E,B,C,E
1324,600313,B,B,B,E
1325,600315,E,A,E,E
1326,600316,E,A,B,B
1327,600317,D,E,C,E
1328,600318,C,B,D,B
1329,600319,A,D,A,A
1330,600320,E,E,A,B
1331,600321,C,C,A,D
1332,600322,C,E,C,A
1333,600323,D,C,D,D
1334,600325,D,E,D,E
1335,600326,D,A,A,D
1336,600327,B,D,D,D
1337,600328,C,E,A,C
1338,600329,E,B,E,C
1339,600330,D,B,A,A
1340,600331,D,C,A,A
1341,600332,E,A,D,E
1342,600333,D,B,A,C
1343,600335,C,E,E,E
1344,600336,C,D,D,C
1345,600337,D,C,B,B
1346,600339,B,C,A,A
1347,600340,E,E,E,E
1348,600343,C,B,B,C
1349,600345,C,B,C,A
1350,600346,A,D,A,B
1351,600348,E,B,E,C
1352,600350,E,E,D,E
1353,600351,D,B,C,E
1354,600352,E,D,C,A
1355,600353,B,A,D,D
1356,600354,C,C,A,C
1357,600355,A,A,A,A
1358,600356,B,D,C,D
1359,600358,B,B,A,B
1360,600359,B,C,A,A
1361,600360,C,C,B,A
1362,600361,B,E,B,C
1363,600362,E,C,D,D
1364,600363,C,B,C,E
1365,600365,A,A,B,E
1366,600366,E,A,E,A
1367,600367,C,A,B,B
1368,600368,C,E,D,D
1369,600369,E,C,B,A
1370,600370,A,C,B,B
1371,600371,B,A,E,B
1372,600372,E,A,D,D
1373,600373,D,E,D,C
1374,600375,B,E,B,D
1375,600376,E,E,D,D
1376,600377,E,C,E,B
1377,600378,C,A,D,D
1378,600379,B,A,B,C
1379,600380,D,C,D,C
1380,600381,C,B,E,A
1381,600382,C,B,E,D
1382,600383,E,E,E,C
1383,600386,C,B,E,C
1384,600387,D,B,A,E
1385,600388,E,C,D,D
1386,600389,E,B,B,A
1387,600390,C,B,A,B
1388,600391,D,B,B,C
1389,600392,D,A,E,E
1390,600393,B,D,B,C
1391,600395,E,A,E,D
1392,600396,B,E,D,B
1393,600397,C,D,D,E
1394,600398,B,C,C,C
1395,600399,B,E,B,E
1396,600400,B,E,B,C
1397,600401,B,E,A,D
1398,600403,B,E,E,E
1399,600405,C,B,B,C
1400,600406,E,A,E,E
1401,600408,C,D,A,B
1402,600409,E,E,B,D
1403,600410,D,C,C,C
1404,600415,E,B,D,B
1405,600416,C,E,A,B
1406,600418,E,D,B,E
1407,600419,A,A,A,A
1408,600420,D,B,D,E
1409,600421,A,A,D,E
1410,600422,E,A,E,E
1411,600423,B,D,B,A
1412,600425,D,D,B,E
1413,600426,D,D,D,C
1414,600428,D,D,B,C
1415,600429,D,B,A,B
1416,600432,E,C,A,E
1417,600435,E,A,B,A
1418,600436,E,A,E,E
1419,600438,D,C,C,D
1420,600439,C,C,B,D
1421,600444,A,A,E,B
1422,600446,D,A,D,C
1423,600448,A,C,B,B
1424,600449,B,E,A,B
1425,600452,A,A,D,A
1426,600456,D,B,A,B
1427,600458,E,B,C,D
1428,600459,C,A,B,B
1429,600460,D,B,A,B
1430,600461,C,D,C,C
1431,600462,A,A,A,A
1432,600463,B,C,D,B
1433,600466,B,A,B,B
1434,600467,D,B,C,B
1435,600468,D,A,B,A
1436,600469,C,D,D,A
1437,600470,C,C,B,D
1438,600475,C,D,B,A
1439,600476,A,A,A,B
1440,600477,B,E,A,B
1441,600478,E,A,A,A
1442,600479,C,A,D,E
1443,600480,C,D,D,C
1444,600481,E,C,C,E
1445,600482,D,B,D,B
1446,600483,A,B,B,A
1447,600485,A,A,A,A
1448,600486,D,B,D,D
1449,600487,C,D,D,D
1450,600488,D,B,C,B
1451,600489,E,A,E,D
1452,600490,D,B,D,E
1453,600491,D,E,E,C
1454,600493,A,C,A,B
1455,600495,D,A,C,B
1456,600496,D,D,D,E
1457,600497,E,C,C,E
1458,600498,E,C,C,D
1459,600499,E,B,D,C
1460,600500,E,E,C,D
1461,600501,C,D,B,B
1462,600502,D,D,E,E
1463,600503,D,B,B,A
1464,600505,C,A,C,D
1465,600506,B,A,A,B
1466,600507,D,D,E,B
1467,600508,E,B,E,C
1468,600509,D,D,D,D
1469,600510,D,E,C,D
1470,600511,D,B,E,E
1471,600512,B,D,B,D
1472,600513,B,A,D,B
1473,600515,B,D,D,E
1474,600516,E,A,D,C
1475,600517,E,A,E,D
1476,600518,E,A,E,D
1477,600519,E,A,E,E
1478,600520,A,A,A,C
1479,600521,E,A,E,E
1480,600522,D,C,D,D
1481,600523,C,C,C,A
1482,600525,D,B,C,D
1483,600526,C,B,B,A
1484,600527,D,A,D,C
1485,600528,E,E,D,C
1486,600529,C,C,C,B
1487,600530,C,B,C,C
1488,600531,C,C,B,C
1489,600532,A,B,E,E
1490,600533,D,E,E,D
1491,600535,E,A,E,C
1492,600536,D,C,A,A
1493,600537,C,D,A,A
1494,600538,A,A,A,A
1495,600539,A,C,A,E
1496,600540,B,C,A,A
1497,600543,C,A,C,B
1498,600545,C,D,B,E
1499,600546,E,D,E,E
1500,600547,E,A,E,E
1501,600548,D,E,C,A
1502,600549,E,A,E,B
1503,600550,E,D,A,A
1504,600551,D,D,C,D
1505,600552,C,A,E,B
1506,600555,C,B,A,A
1507,600557,E,A,E,D
1508,600558,A,C,B,B
1509,600559,D,A,E,D
1510,600560,B,C,D,B
1511,600561,C,D,D,D
1512,600562,C,A,B,A
1513,600563,D,A,E,C
1514,600565,C,E,D,E
1515,600567,C,D,A,D
1516,600568,B,C,C,C
1517,600569,D,E,A,A
1518,600570,E,A,D,B
1519,600571,C,A,C,D
1520,600572,E,A,E,E
1521,600573,A,B,A,A
1522,600575,D,E,C,E
1523,600576,B,A,A,A
1524,600577,C,C,C,A
1525,600578,D,E,E,E
1526,600579,B,B,E,A
1527,600580,D,C,B,A
1528,600581,C,E,B,C
1529,600582,E,C,E,E
1530,600583,E,B,D,C
1531,600584,D,D,A,D
1532,600585,E,C,D,B
1533,600586,C,D,A,A
1534,600587,E,A,D,E
1535,600588,E,B,B,C
1536,600589,C,B,C,B
1537,600590,C,D,B,D
1538,600592,C,B,B,D
1539,600593,A,A,B,D
1540,600594,E,A,E,E
1541,600595,D,E,A,C
1542,600596,E,C,B,B
1543,600597,E,B,C,E
1544,600598,E,C,A,A
1545,600599,A,A,B,B
1546,600600,E,C,E,C
1547,600601,D,C,B,B
1548,600602,C,B,B,A
1549,600603,A,A,B,D
1550,600604,C,A,E,E
1551,600605,A,B,A,C
1552,600608,B,A,E,A
1553,600609,C,D,D,E
1554,600611,D,D,D,A
1555,600612,D,D,E,D
