,Stkcd,Size,BM,OP,INV
1281,600297,E,E,D,E
1282,600298,D,B,D,B
1283,600299,C,E,E,B
1284,600300,D,C,B,C
1285,600301,A,A,A,A
1286,600302,A,C,A,B
1287,600303,C,D,A,D
1288,600305,C,A,E,B
1289,600306,A,C,E,A
1290,600307,E,E,A,A
1291,600308,C,E,A,A
1292,600309,E,D,E,D
1293,600310,C,D,E,B
1294,600311,B,A,A,B
1295,600312,D,D,E,D
1296,600313,B,C,B,E
1297,600315,E,A,E,E
1298,600316,D,C,B,C
1299,600317,E,C,C,A
1300,600319,A,C,E,A
1301,600320,D,E,B,B
1302,600322,B,E,B,D
1303,600323,C,D,D,C
1304,600325,D,E,C,E
1305,600326,B,D,D,E
1306,600327,B,D,D,C
1307,600328,B,D,A,A
1308,600329,D,C,D,C
1309,600331,C,E,A,A
1310,600332,E,C,E,C
1311,600333,B,D,A,C
1312,600335,D,E,D,A
1313,600336,B,C,B,A
1314,600337,D,B,D,D
1315,600338,B,B,E,E
1316,600340,E,E,E,E
1317,600343,E,A,B,B
1318,600345,B,B,B,B
1319,600346,B,B,A,A
1320,600348,E,E,B,C
1321,600350,E,D,E,B
1322,600351,C,B,D,E
1323,600352,E,D,E,D
1324,600353,B,A,C,D
1325,600354,A,D,C,A
1326,600355,A,A,A,C
1327,600356,A,C,C,B
1328,600359,A,C,A,C
1329,600360,C,C,B,B
1330,600361,B,E,A,B
1331,600362,E,E,B,A
1332,600363,D,B,C,C
1333,600365,B,A,B,D
1334,600366,D,B,D,D
1335,600367,B,B,A,A
1336,600368,B,E,A,A
1337,600369,E,D,E,D
1338,600370,B,B,B,B
1339,600371,A,A,C,A
1340,600372,E,B,D,C
1341,600373,E,C,D,E
1342,600376,E,E,E,E
1343,600377,E,D,E,D
1344,600378,B,A,C,A
1345,600380,E,C,D,C
1346,600381,A,C,E,E
1347,600382,C,C,C,D
1348,600383,E,D,D,C
1349,600386,C,C,D,D
1350,600387,B,E,A,A
1351,600388,D,C,E,D
1352,600390,C,B,A,C
1353,600391,D,A,B,C
1354,600392,D,A,B,D
1355,600393,A,E,B,E
1356,600395,D,C,B,A
1357,600396,B,E,E,E
1358,600397,B,E,A,D
1359,600398,E,D,E,D
1360,600399,C,D,C,C
1361,600400,D,B,C,D
1362,600401,D,D,B,B
1363,600403,D,D,A,A
1364,600405,B,B,C,D
1365,600406,E,B,E,C
1366,600409,E,E,C,B
1367,600410,D,C,B,B
1368,600415,E,C,D,B
1369,600416,D,E,B,C
1370,600418,D,E,A,E
1371,600419,B,B,C,E
1372,600421,A,A,D,A
1373,600422,D,B,E,E
1374,600423,A,E,A,A
1375,600425,C,E,A,A
1376,600426,D,D,E,A
1377,600428,D,D,B,B
1378,600429,C,D,B,E
1379,600432,C,E,A,A
1380,600433,D,B,B,C
1381,600435,E,A,C,C
1382,600436,E,A,E,C
1383,600438,D,C,E,B
1384,600439,B,C,C,C
1385,600444,A,B,D,E
1386,600446,E,A,E,E
1387,600448,A,D,B,D
1388,600449,B,D,A,A
1389,600456,C,D,A,B
1390,600458,D,D,C,D
1391,600459,C,C,A,D
1392,600460,D,B,A,C
1393,600461,B,D,D,C
1394,600462,A,A,A,A
1395,600463,A,D,B,D
1396,600466,C,E,D,E
1397,600467,C,C,A,C
1398,600468,C,A,B,A
1399,600470,A,D,B,A
1400,600476,B,A,A,A
1401,600477,C,C,C,B
1402,600478,D,A,A,E
1403,600479,B,B,C,D
1404,600480,B,E,D,D
1405,600481,D,B,E,A
1406,600482,E,A,D,B
1407,600483,A,E,E,B
1408,600485,E,B,D,D
1409,600486,D,C,E,C
1410,600487,E,D,E,D
1411,600488,C,B,B,B
1412,600489,E,D,B,D
1413,600491,D,E,D,D
1414,600493,A,A,B,A
1415,600495,C,B,B,A
1416,600496,C,D,C,C
1417,600497,E,E,B,B
1418,600498,E,C,C,D
1419,600499,D,C,E,C
1420,600500,E,E,C,E
1421,600501,C,B,B,D
1422,600503,E,A,B,D
1423,600505,A,C,C,D
1424,600506,A,A,A,B
1425,600507,C,D,C,B
1426,600508,C,E,B,A
1427,600509,C,E,C,D
1428,600510,C,E,C,D
1429,600512,B,D,A,A
1430,600513,A,A,C,E
1431,600515,C,C,D,B
1432,600516,E,B,B,A
1433,600517,D,C,E,E
1434,600518,E,B,E,E
1435,600519,E,A,E,D
1436,600520,A,A,A,B
1437,600521,E,A,D,D
1438,600522,E,D,D,D
1439,600523,B,C,D,B
1440,600525,E,C,D,E
1441,600526,B,D,B,E
1442,600527,B,A,A,A
1443,600528,E,E,B,A
1444,600529,B,C,D,C
1445,600530,C,B,C,A
1446,600531,D,D,A,A
1447,600532,C,B,A,D
1448,600533,B,E,C,A
1449,600535,E,B,E,D
1450,600536,D,B,A,D
1451,600537,D,D,C,D
1452,600539,A,A,A,C
1453,600543,B,B,B,B
1454,600546,C,E,A,C
1455,600547,E,C,C,B
1456,600548,D,E,D,D
1457,600549,E,D,A,A
1458,600550,C,C,E,A
1459,600551,D,C,C,C
1460,600552,C,C,B,E
1461,600555,C,C,A,C
1462,600556,C,A,E,E
1463,600557,C,B,D,B
1464,600558,A,C,B,B
1465,600559,D,B,D,D
1466,600560,A,B,B,A
1467,600561,A,E,A,E
1468,600562,D,A,E,D
1469,600563,D,A,E,C
1470,600565,D,E,D,D
1471,600566,B,C,E,C
1472,600567,C,E,B,B
1473,600568,D,B,B,A
1474,600569,C,E,A,B
1475,600570,E,A,E,D
1476,600571,D,A,D,D
1477,600572,D,C,D,E
1478,600573,A,A,B,B
1479,600575,C,C,C,A
1480,600579,A,B,C,B
1481,600580,C,E,D,E
1482,600581,A,E,E,A
1483,600582,D,E,D,D
1484,600583,E,D,E,B
1485,600585,E,E,D,B
1486,600586,C,D,A,C
1487,600587,D,D,D,D
1488,600588,E,A,B,D
1489,600589,C,C,B,C
1490,600590,C,D,B,D
1491,600592,B,C,B,A
1492,600593,A,A,E,A
1493,600594,D,B,C,B
1494,600595,D,E,A,B
1495,600596,B,D,A,B
